,Basic Assistance,Child Care Assistance,Transportation and Supportive Services,Work Related Activities,Child Care Non-Assistance,Transportation,Individual Development Accounts,Refundable Earned Income Tax Credits,Non-EITC Refundable State Tax Credits,Non-Recurrent Short Term Benefits,Prevention of Out-of-Wedlock Pregnacies,Family Formation and Maintence Programs,Administrative Costs,Systems,Other
U.S. TOTAL,4252650107.0,254467575.0,46209898.0,516937971.0,2274529962.0,31122156.0,169625.0,1728271545.0,543834350.0,423979582.0,1512532608.0,40781993.0,838245191.0,43521553.0,2487985002.0
ALABAMA,0.0,62672.0,2434650.0,11981003.0,5454462.0,0.0,0.0,0.0,0.0,23465762.0,482057.0,58415.0,11858168.0,422445.0,26786678.0
ALASKA,31660692.0,3516752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,0.0,1829505.0,138475.0,0.0
ARIZONA,1567603.0,0.0,0.0,2627793.0,10032936.0,0.0,0.0,0.0,0.0,22552483.0,0.0,0.0,16424222.0,1697253.0,75806543.0
ARKANSAS,0.0,0.0,0.0,43800.0,380797.0,595200.0,0.0,0.0,0.0,0.0,84623395.0,0.0,3048534.0,0.0,0.0
CALIFORNIA,2100544914.0,13590795.0,5164146.0,9136241.0,718414881.0,9051131.0,0.0,0.0,0.0,369872.0,7960315.0,628641.0,246423348.0,3475330.0,124918106.0
COLORADO,8385173.0,0.0,315931.0,114349.0,12511.0,101611.0,0.0,0.0,2954105.0,375619.0,5494.0,37.0,4548346.0,3324077.0,149076359.0
CONNECTICUT,68539083.0,1614006.0,0.0,16052001.0,33905160.0,2230558.0,0.0,0.0,0.0,0.0,0.0,315202.0,16857429.0,363930.0,78554797.0
DELAWARE,13190378.0,1225591.0,0.0,887961.0,32763555.0,0.0,0.0,0.0,0.0,1035759.0,0.0,0.0,41741.0,0.0,9355281.0
DIST.OF COLUMBIA,35202942.0,14250000.0,1049978.0,14206916.0,22584565.0,0.0,0.0,15000000.0,0.0,15854555.0,0.0,0.0,0.0,0.0,26528706.0
FLORIDA,129900296.0,0.0,0.0,0.0,128925050.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,10338677.0,8499907.0,135594288.0
GEORGIA,2491329.0,676113.0,0.0,1185573.0,21506538.0,2111022.0,0.0,0.0,0.0,0.0,0.0,0.0,1275823.0,55227.0,144066902.0
HAWAII,18436610.0,0.0,652561.0,88631235.0,4971630.0,1307513.0,0.0,0.0,0.0,3531926.0,5426395.0,1612631.0,5868163.0,933760.0,28780853.0
IDAHO,2305171.0,0.0,0.0,5570037.0,1175820.0,168132.0,169625.0,0.0,0.0,458152.0,0.0,0.0,1281132.0,295215.0,2929934.0
ILLINOIS,3994697.0,0.0,84356.0,107059.0,511031765.0,19234.0,0.0,0.0,0.0,0.0,0.0,0.0,452240.0,12302.0,60164345.0
INDIANA,4668495.0,0.0,0.0,4821508.0,15356947.0,0.0,0.0,33882653.0,0.0,0.0,0.0,0.0,0.0,0.0,62817896.0
IOWA,41353781.0,10207533.0,2939179.0,4513535.0,11214674.0,465066.0,0.0,9584871.0,0.0,0.0,0.0,0.0,4077461.0,436987.0,0.0
KANSAS,7236094.0,5844890.0,0.0,0.0,0.0,0.0,0.0,48667710.0,0.0,0.0,0.0,0.0,0.0,0.0,12535289.0
KENTUCKY,42203413.0,33202954.0,1470000.0,4294722.0,441547.0,560000.0,0.0,0.0,0.0,0.0,0.0,0.0,389489.0,19780.0,12799364.0
LOUISIANA,0.0,0.0,0.0,0.0,5219488.0,0.0,0.0,17502763.0,0.0,0.0,33260978.0,0.0,50016.0,0.0,1542531.0
MAINE,30863315.0,2939574.0,2790162.0,138753.0,1626791.0,300734.0,0.0,0.0,1416403.0,220306.0,0.0,0.0,0.0,0.0,0.0
MARYLAND,25174378.0,0.0,0.0,5691083.0,23864138.0,0.0,0.0,143366325.0,0.0,29076207.0,0.0,7192.0,30052498.0,604296.0,82175729.0
MASSACHUSETTS,315911481.0,0.0,0.0,6547114.0,45212642.0,0.0,0.0,109314381.0,0.0,64473540.0,8527299.0,0.0,33251461.0,0.0,55588378.0
MICHIGAN,62119622.0,0.0,0.0,14372649.0,19529091.0,17913.0,0.0,50335988.0,0.0,52316111.0,293635986.0,3893952.0,78836023.0,3400.0,2580661.0
MINNESOTA,22935305.0,0.0,0.0,2572489.0,53740158.0,0.0,0.0,97487875.0,11755372.0,256286.0,0.0,0.0,16218658.0,0.0,5700000.0
MISSISSIPPI,5425271.0,0.0,367578.0,13274311.0,1715430.0,653052.0,0.0,0.0,0.0,0.0,0.0,0.0,57124.0,223553.0,7989.0
MISSOURI,70915057.0,0.0,0.0,17358087.0,16548756.0,0.0,0.0,0.0,0.0,54563394.0,0.0,0.0,8470010.0,974150.0,7647971.0
MONTANA,0.0,1313990.0,0.0,9577654.0,637000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471110.0,2065227.0,799674.0
NEBRASKA,8012774.0,0.0,0.0,3887510.0,6498998.0,0.0,0.0,29181131.0,6809059.0,0.0,0.0,0.0,0.0,0.0,208877.0
NEVADA,25681289.0,0.0,0.0,1703805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2121878.0,1623310.0,15009928.0
NEW HAMPSHIRE,22141706.0,0.0,0.0,1328696.0,4581870.0,321884.0,0.0,0.0,0.0,2595599.0,881837.0,1931442.0,4560734.0,1664370.0,2709587.0
NEW JERSEY,63431912.0,26374178.0,4036950.0,28700337.0,0.0,0.0,0.0,153524612.0,0.0,3531830.0,476499939.0,169995.0,25156724.0,1231450.0,6502079.0
NEW MEXICO,926772.0,0.0,0.0,0.0,11645300.0,0.0,0.0,47440000.0,0.0,0.0,3605467.0,6500000.0,0.0,0.0,45437127.0
NEW YORK,453553661.0,101983998.0,0.0,15400824.0,0.0,177239.0,0.0,910363178.0,516137867.0,25171827.0,229775426.0,0.0,100389850.0,1675111.0,453349125.0
NORTH CAROLINA,2528996.0,0.0,0.0,36437500.0,26048648.0,3473468.0,0.0,56831959.0,0.0,4872175.0,114321529.0,0.0,21143621.0,1461220.0,33258716.0
NORTH DAKOTA,4945634.0,1017036.0,378743.0,1568058.0,0.0,22857.0,0.0,0.0,0.0,14682.0,0.0,1122276.0,0.0,0.0,0.0
OHIO,151761654.0,0.0,0.0,173800.0,178393319.0,0.0,0.0,0.0,0.0,33408833.0,22629364.0,0.0,56004229.0,1013693.0,6496054.0
OKLAHOMA,11911486.0,6210320.0,15058308.0,0.0,0.0,0.0,0.0,0.0,0.0,311300.0,1270065.0,4350044.0,9017957.0,1412691.0,10577543.0
OREGON,74934368.0,9382255.0,1071138.0,7730154.0,99686.0,23920.0,0.0,0.0,1082793.0,0.0,0.0,0.0,18109717.0,-1086793.0,49067589.0
PENNSYLVANIA,51187165.0,0.0,28939.0,4943994.0,228996309.0,613654.0,0.0,0.0,0.0,10007903.0,85190034.0,0.0,26492167.0,3641565.0,0.0
RHODE ISLAND,491229.0,887463.0,0.0,0.0,4433663.0,0.0,0.0,5788099.0,3678751.0,0.0,0.0,0.0,2058298.0,296950.0,60095502.0
SOUTH CAROLINA,898806.0,0.0,0.0,85886.0,4085268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532885.0,784340.0,113355716.0
SOUTH DAKOTA,5257673.0,802914.0,0.0,1621429.0,0.0,53305.0,0.0,0.0,0.0,0.0,0.0,0.0,804679.0,0.0,0.0
TENNESSEE,16102219.0,14839442.0,0.0,15894049.0,4136340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18563983.0,1406656.0,77714038.0
TEXAS,62851931.0,0.0,48374.0,7751588.0,26787696.0,386463.0,0.0,0.0,0.0,83688.0,0.0,0.0,1430839.0,85844.0,286958542.0
UTAH,1829096.0,0.0,0.0,8868323.0,4474924.0,0.0,0.0,0.0,0.0,564804.0,899804.0,113025.0,3255624.0,60520.0,4822915.0
VERMONT,17561018.0,0.0,3575627.0,70711.0,18165294.0,0.0,0.0,0.0,0.0,2819328.0,0.0,0.0,2583691.0,353094.0,0.0
VIRGINIA,52811775.0,0.0,0.0,30187262.0,21328762.0,4336609.0,0.0,0.0,0.0,2219.0,0.0,12459941.0,14703786.0,284269.0,1720.0
WASHINGTON,73532671.0,0.0,0.0,85925166.0,48587553.0,0.0,0.0,0.0,0.0,26490477.0,140779125.0,0.0,14740322.0,3971680.0,125811514.0
WEST VIRGINIA,21564810.0,2971392.0,4743278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5166966.0,0.0,0.0
WISCONSIN,81771024.0,0.0,0.0,30952994.0,0.0,4131591.0,0.0,0.0,0.0,45554251.0,358099.0,7619200.0,11681737.0,0.0,89366659.0
WYOMING,1935338.0,1553707.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5604326.0,96269.0,483497.0
